X,Y,FID,UML_ID,Group_Name,Parent_Com,Mill_Name,RSPO_Statu,RSPO_Type,Date,Latitude,Longitude,GPS_coordi,GPS_coor_1,GPS_coor_2,ISO,Country,Province,District,Confidence,Alternativ
13182996.3369791,100630.871828874,1723,PO1000008577,IJM PLANTATIONS BERHAD,SINERGI AGRO INDUSTRI,SINERGI AGRO INDUSTRI,Not RSPO Certified, ,2021/07/14 00:00:00+00,0.903945,118.424871,"0.903945, 118.424871",118.424871,0.903945,IDN,Indonesia,Kalimantan Timur,Kutai Timur,1-Fully Verified, 
12926899.0579202,-214805.949405477,1724,PO1000008578,PTPN III,PERKEBUNAN NUSANTARA XIII,LONG PINANG,Not RSPO Certified, ,2021/07/14 00:00:00+00,-1.92927,116.12431,"-1.92927, 116.12431",116.12431,-1.92927,IDN,Indonesia,Kalimantan Timur,Paser,1-Fully Verified, 
12710122.3833579,-216802.382186015,1725,PO1000008579,MENTARI,SAKTI MAIT JAYA LANGIT,SAKTI MAIT JAYA LANGIT,Not RSPO Certified, ,2021/07/14 00:00:00+00,-1.947194,114.176972,"-1.947194, 114.176972",114.176972,-1.947194,IDN,Indonesia,Kalimantan Tengah,Kapuas,1-Fully Verified, 
12322670.9994697,7782.45885197795,1726,PO1000008580,AGRINA,AGRINA SAWIT PERDANA,AGRINA SAWIT PERDANA,Not RSPO Certified, ,2021/07/14 00:00:00+00,0.069911,110.696437,"0.069911, 110.696437",110.696437,0.069911,IDN,Indonesia,Kalimantan Barat,Sanggau,1-Fully Verified, 
12805103.2898484,-126856.922730725,1727,PO1000008581,MAKIN,ANTANG GANDA UTAMA,PANDRAN RAYA,Not RSPO Certified, ,2021/07/14 00:00:00+00,-1.1395,115.0302,"-1.1395, 115.0302",115.0302,-1.1395,IDN,Indonesia,Kalimantan Tengah,Barito Utara,1-Fully Verified, 
11318113.3391996,-61975.8753657644,1728,PO1000008582,DARMEX AGRO,DUTA PALMA NUSANTARA,KUKO,Not RSPO Certified, ,2021/07/14 00:00:00+00,-0.55673,101.672342,"-0.55673, 101.672342",101.672342,-0.55673,IDN,Indonesia,Riau,Kuantan Singingi,1-Fully Verified, 
10893076.04244,287660.429822166,1729,PO1000008583,UNKNOWN,BUMI DAYA AGROTAMAS,BUMI DAYA AGROTAMAS,Not RSPO Certified, ,2021/07/14 00:00:00+00,2.583222,97.854167,"2.583222, 97.854167",97.854167,2.583222,IDN,Indonesia,Aceh,Subulussalam,1-Fully Verified, 
10653831.8663702,509872.164111178,1730,PO1000008584,UNKNOWN,SYAUKATH AGRO,SYAUKATH AGRO,Not RSPO Certified, ,2021/07/14 00:00:00+00,4.575389,95.705,"4.575389, 95.705",95.705,4.575389,IDN,Indonesia,Aceh,Aceh Jaya,1-Fully Verified, 
11181422.3553426,205376.193195175,1731,PO1000008585,UNKNOWN,ANUGERAH AGRO SAWIT PERKASA,ANUGERAH AGRO SAWIT PERKASA,Not RSPO Certified, ,2021/07/14 00:00:00+00,1.844607,100.444426,"1.844607, 100.444426",100.444426,1.844607,IDN,Indonesia,Riau,Rokan Hilir,1-Fully Verified, 
11153343.6835824,153270.630113114,1732,PO1000008586,TORGANDA,TOR GANDA,BATANG KUMU,Not RSPO Certified, ,2021/07/14 00:00:00+00,1.376721,100.192191,"1.376721, 100.192191",100.192191,1.376721,IDN,Indonesia,Riau,Rokan Hulu,1-Fully Verified, 
